address,display_name,builder_score
0x026B7A15ad04180aBEe7fEaf34e0F695426BD193,Sebas,189
0xb08db4cD36B0309C069f515cED754205912A707A,Berkin Gürcan,190
0x534631Bcf33BDb069fB20A93d2fdb9e4D4dD42CF,slobo,101
0x09928ceBB4c977C5e5Db237a2A2cE5CD10497CB8,thescoho,229
0x7243508B98bdB260ad825b60976dBDb2e8115771,Karen Sheng,74
0x0ce08d7b29D19795b3a91625e8b6741E2680E17F,,
0xB872e6471b3d054eF3307D6deAb65cd39e18fC2f,,
0xDF55Fd47814C47375FA731dABFF5C0aB54820a61,,
0x7e37C3A9349227B60503DDB1574A76d10C6bc48E,dylan,127
0x7C1a4579FCc3E58AE3686479Af4B3956a168ac4F,,
0xb1053CA73a40d24FDb6A24Cb536651C0A58C4381,,
0x7cAC817861e5C3384753403Fb6C0c556c204b1Ce,Manan,80
0x863A7186915d3e56172631b05c99738e2f68C6C9,,
0x52AbA6bdBF9e203eab714E04546921412Bdb8197,,
0xba2023f86C8f1D57E8057508C90f7b3f36f0F73e,hermanneho.base.eth,8
0x05fDB0AB348F1FB0E595b81b2c64F9Fe54076C65,,
0x367C266b94Bf9c213b2A9C61b5915E2a493533C8,Edax,10
0x8D37cb3624e1CB8480DceCC7884330a0449Dd9f0,,
0x8EaBa6D5Bb11c1bF2589c90184f07f304e365D03,BashyBaranaba,192
0xc5AD9d6a06cDEf40CbBe3864d50Ca420586ce5f9,,
0xe265C07750611f2Df56CE1f7522a5F7438939205,,
0x5f57C686bdbc03242C8Fa723B80f0A6CDea79546,Emre Ekinci,161
0x2b1941BA912529DfB6d8bBb0B1546144a3b09523,,
0x8e5af876F622EE96D80eD29cDd18dDBC9fEF2669,Sid,84
0xaf59B12ea11914A0373ffbb13FF8b03F8537C599,druxamb.base.eth,199
0xa19a11CB5928Bf07B5B6aBa256F63142343A59bc,Angela O,99
0x5d5D1c3179aDdf4A598818421047Ffa622052eF6,Gabby 🍉 🎩,43
0x9D8583f4f14Cb06e5D70Fd8bA12448FE7709a8c9,,
0x720447Cc33691D167D14e472bf5Ae38E8a220aF7,criptopoeta.base.eth,62
0x8C4A16f206B648c5FE9bAC1a1a8D16D53Da4dF1A,Sebastián Leonardo Pérez,50
0x251e4707865feba92094D3918DCDAcEDa3c389BA,,
0xF4e2Bc18464670a684Bb8Ce2F5663c543Db402c3,neeel.eth (🇦🇷,🧉),6
0xE855e020290210c2b47250df40e2D23eb8B1f900,,
0xD60EFdd4F242D8B04D4EB8bf377BB415DF33f0D7,Mihirsinh Parmar,197
0x6D465d2081b799770d0Ce7E755d8dB1665903fFB,Ariiellus,114
0x1d671d1B191323A38490972D58354971E5c1cd2A,andrei,167
0xcE0479FB5E1abC7c6D9d0818fe7CCc318B476DD8,,
0x1C4e3C31623F12d8f0C17b75e53C186B991FF33B,Yuji,41
0x822E4e429aDeDd91c96a81db39401A1770B96a5b,,
0xcE62D6292E91F952cB0EbB7E908d2400823D72ea,,
0xb2b592B4E3907468317e3164210ed289211CaC72,,
0xaC6DF62364e0A8359E5687AfB743f92750c25aD0,,
0x1D4098C948Dc41958Bf3A745deC77AE059C3aDF6,Jmc,21
0x4ac9cf08708318A72645c1F26D07D9306E56D3ae,,
0xE773382A7574de1C82b1F67099E680c043048708,tpae,77
0x56F0885d58d0bcA8E8A60adb2fed79537adeB2a5,Vedant Chainani,179
0xE594469fDe6AE29943a64f81d95c20F5F8eB2e04,Paulo Fonseca,140
0x10e3B9f18004aF478A1f186ECF89b0284212582B,,
0x2967C076182F0303037072670e744e26Ed4A830f,,
0xe6FC3609233197e54f9A0b1C051534bec6ECf79b,Fabian Ferno,21
0x22b2DD2CFEF2018D15543c484aceF6D9B5435863,Harpalsinh Jadeja,272
0xE33D6ed88Bea703f0221124d0075119c993a8c9C,,
0xf22ED143CB4E020F08455dF84dd4E4DCEcFC42F6,,
0x2CD1353Cf0E402770643B54011A63B546a189c44,GT,257
0x94aD24BD1bE06942A5AEa13416F2eff831F75182,,
0xCfE767e95e966639011260CB9689deaF4F74960a,,
0x485A3057bEa80BD0c36128e15D60544CE5B22E81,,
0xAd5220415e07515a0c7BdC2951086e66D840a959,,
0xA9bC8A58B39935BA3D8D1Ce4b0d3383153F184E1,orbulo.eth,204
0xB8048009959Df63aAa439fE0c1448b46d805a464,Gauthier,51
0x323Ad2D8e28499f7DBE4b853e6813a09f0f3Bfba,deca,151
0x6727b20B238d48B2258ACE334328570513B73f6e,Shakti ,48
0x09a5943a6d10919571eE2C9F63380aEA747ECA97,hildobby,105
0x33a7d139955c1B34033Fa5187D752AF986Eace9e,,
0x8379bD16381620914d8fA3d535F6Ca9eF23ece53,kugusha 🦋,126
0x5C0d9828Ca6595Db1012A4063C7aE8B6EDeE7534,Chicago 🎩,23
0xB98BCbf22a9C2131463D664269228eD6038C373C,Aniket Singh,44
0x86713F3970B9EC63024Dc6e5E5a8eF3FAB30De23,Manuel Rivera,113
0x1AEB179Ad39D4DDA4EfE86dC5F28cddAce0f5499,,
0x6ee7DCFE2e97803511B59965f89955f10A8b3384,,
0xdf696B8a034416b4725793388ed8A232195C1ce9,,
0xBda71074cB843Fa8a94A41d1C5888D7a792C3e87,,
0x11dc744F9b69b87a1eb19C3900e0fF85B6853990,tahir,62
0x2804503018Ef9fB17FA80A6Ca51b11d7Aef10211,,
0xaCB8182b129CB1f0E9532129872F21E23613cb9D,Imxer,9
0xdbf9188879a8cEb92edD6144e92bB441D8d4c596,,
0xA601f6DedF88f652B4711b81f09c9A5949a3AcfF,,
0x339B72eE8b2DCb1F1a18548762df24d02FE0783C,Chaffie,42
0x5aFa076bBC358FFb75a24b8Ec256378F9396d054,,
0xe1B3c92C1C83E7E2CcC946Fe926045c932C67d5e,,
0xa8Ffa84FE054da6BAb987a8984D4d35f54491A75,,
0xd1fA3f9BA62cb251e785D2c7Eddd5D0A022BAaE1,Sarah,83
